epoch,loss,accuracy,mse,binary_accuracy,val_loss,val_accuracy,val_mse,val_binary_accuracy
1,7.473789691925049,0.4385964870452881,2.6295037269592285,0.4385964870452881,8.510315895080566,0.4482758641242981,2.255587577819824,0.4482758641242981
2,7.6721577644348145,0.4649122953414917,2.692739486694336,0.4649122953414917,8.510315895080566,0.4482758641242981,2.0624563694000244,0.4482758641242981
3,7.566658973693848,0.4385964870452881,2.3291163444519043,0.4385964870452881,8.510315895080566,0.4482758641242981,1.889567255973816,0.4482758641242981
4,6.356995105743408,0.4912280738353729,2.2050130367279053,0.4912280738353729,8.510316848754883,0.4482758641242981,1.687370777130127,0.4482758641242981
5,6.250418663024902,0.48245614767074585,2.0692851543426514,0.48245614767074585,8.510315895080566,0.4482758641242981,1.5251286029815674,0.4482758641242981
6,6.913125514984131,0.48245614767074585,2.2230165004730225,0.48245614767074585,8.510316848754883,0.4482758641242981,1.3857306241989136,0.4482758641242981
7,6.707016468048096,0.44736841320991516,2.106480360031128,0.44736841320991516,8.510316848754883,0.4482758641242981,1.272605061531067,0.4482758641242981
8,7.000558853149414,0.4385964870452881,1.7801371812820435,0.4385964870452881,8.510315895080566,0.4482758641242981,1.1537574529647827,0.4482758641242981
9,5.837646961212158,0.4912280738353729,1.3319458961486816,0.4912280738353729,6.800760269165039,0.4482758641242981,1.0411403179168701,0.4482758641242981
10,5.367197513580322,0.5350877046585083,1.3202388286590576,0.5350877046585083,5.845337867736816,0.4482758641242981,0.8904837369918823,0.4482758641242981
11,6.124935150146484,0.5087719559669495,1.3480991125106812,0.5087719559669495,4.44626522064209,0.4482758641242981,0.7762974500656128,0.4482758641242981
12,5.476860046386719,0.5175438523292542,1.4813899993896484,0.5175438523292542,3.848585367202759,0.4482758641242981,0.6923025846481323,0.4482758641242981
13,5.3285627365112305,0.45614033937454224,0.9725725054740906,0.45614033937454224,3.2417380809783936,0.4482758641242981,0.6049164533615112,0.4482758641242981
14,4.708430290222168,0.5438596606254578,0.9440081119537354,0.5438596606254578,2.741575002670288,0.48275861144065857,0.5492833852767944,0.48275861144065857
15,4.3500471115112305,0.48245614767074585,1.0381029844284058,0.48245614767074585,2.6489694118499756,0.5862069129943848,0.5133979320526123,0.5862069129943848
16,4.548614025115967,0.5175438523292542,0.9308977723121643,0.5175438523292542,2.1751255989074707,0.5862069129943848,0.4824470579624176,0.5862069129943848
17,4.512682914733887,0.5350877046585083,0.9479377865791321,0.5350877046585083,2.1129722595214844,0.5862069129943848,0.45636534690856934,0.5862069129943848
18,4.449843883514404,0.5438596606254578,0.9777702689170837,0.5438596606254578,2.0823233127593994,0.6551724076271057,0.44320574402809143,0.6551724076271057
19,4.662024974822998,0.5614035129547119,1.061543345451355,0.5614035129547119,1.7305195331573486,0.6896551847457886,0.4318574070930481,0.6896551847457886
20,3.9360737800598145,0.5263158082962036,0.8203787803649902,0.5263158082962036,1.643437147140503,0.6896551847457886,0.4203653633594513,0.6896551847457886
21,4.541527271270752,0.5350877046585083,0.9461690187454224,0.5350877046585083,1.6052109003067017,0.6896551847457886,0.4097174406051636,0.6896551847457886
22,2.6468610763549805,0.6140350699424744,0.740490198135376,0.6140350699424744,1.5792779922485352,0.6896551847457886,0.3998478949069977,0.6896551847457886
23,3.985466957092285,0.5350877046585083,0.8650503754615784,0.5350877046585083,1.5519523620605469,0.6896551847457886,0.38791587948799133,0.6896551847457886
24,3.8222029209136963,0.5438596606254578,0.7899221181869507,0.5438596606254578,1.5320439338684082,0.7241379022598267,0.3801160752773285,0.7241379022598267
25,3.137094259262085,0.6052631735801697,0.8146317005157471,0.6052631735801697,1.509374737739563,0.7241379022598267,0.3692121207714081,0.7241379022598267
